ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
GRX,GREENX METALS LIMITED,Ian,1,0,1,4,4,0,Ian Middlemas,(none),Ian Middlemas (M) | Benjamin Stoikovich (M) | Garry Hemming (M) | Mark Pearce (M)
G6M,GROUP 6 METALS LIMITED,Kevin,1,0,1,3,3,0,Kevin Frederick Pallas,(none),Kevin Pallas (M) | Christopher Ellis (M) | Dale Elphinstone (M)
G1C,GROUP ONE CAPITAL LIMITED,Neville,1,0,1,3,3,0,Neville Dickson Bell,(none),Neville Bell (M) | Rosario Patane (M) | Malcolm Cory (M)
GUM,GUMTREE AUSTRALIA MARKETS LIMITED,Bruce,1,0,1,4,4,0,Bruce Rathie,(none),Bruce Rathie (M) | Tommy Logtenberg (M) | John O'Loghlen (M) | Geoff Stalley (M)
GWR,GWR GROUP LIMITED,Gary,1,0,1,3,3,0,Gary Lyons,(none),Gary Lyons (M) | Teck Wong (M) | Wai Law (M)
HCF,H&G HIGH CONVICTION LIMITED,Alexander,1,0,1,3,3,0,Alexander Beard,(none),Alexander Beard (M) | Phillip Christopher (M) | Angus Murnaghan (M)
H3E,H3 ENERGY LIMITED,Mark,1,0,1,5,4,1,Mark Lindh,(none),Mark Lindh (M) | Nik Sykiotis (M) | Rosalind Archer (?) | Tino Guglielmo (M) | Richard King (M)
HMG,HAMELIN GOLD LIMITED,William,1,0,1,4,4,0,William Michael Bennett Robinson,(none),William Robinson (M) | Peter Bewick (M) | Philip Crutchfield (M) | Justin Osborne (M)
HMX,HAMMER METALS LIMITED,Russell,1,0,1,4,4,0,Russell Davis,(none),Russell Davis (M) | Daniel Thomas (M) | David Church (M) | James Croser (M)
HAR,HARANGA RESOURCES LIMITED.,Michael,1,0,1,4,4,0,Michael Davy,(none),Michael Davy (M) | Peter Batten (M) | Jeremy King (M) | Bruce McCracken (M)
HT8,HARRIS TECHNOLOGY GROUP LIMITED,Alan,1,0,1,3,3,0,Alan Sparks,(none),Alan Sparks (M) | Garrison Huang (M) | Brett Crowley (M)
HHR,HARTSHEAD RESOURCES NL,Christopher,1,0,1,3,3,0,Christopher Lewis,(none),Christopher Lewis (M) | Nathan Lude (M) | Bevan Tarratt (M)
HTG,HARVEST TECHNOLOGY GROUP LTD,Jeffery,1,0,1,4,4,0,Jeffery Sengelman,(none),Jeffery Sengelman (M) | Ilario Faenza (M) | Marcus Machin (M) | Ross McKinnon (M)
HAS,HASTINGS TECHNOLOGY METALS LTD,Charles,1,0,1,4,4,0,Charles Lew,(none),Charles Lew (M) | Malcolm Randall (M) | Jean Steinmetz (M) | Guy Robertson (M)
HAV,HAVILAH RESOURCES LIMITED,Simon,1,0,1,3,2,1,Simon Jeremy Newton Gray,(none),Simon Gray (M) | Christopher Giles (?) | Victor Previn (M)
HWK,HAWK RESOURCES LIMITED.,Tom,1,0,1,3,3,0,Tom Eadie,(none),Tom Eadie (M) | Scott Caithness (M) | Peter Williams (M)
HAW,HAWTHORN RESOURCES LIMITED,Yijie,1,0,1,5,5,0,Yijie Li,(none),Yijie Li (M) | Brian Thornton (M) | Joseph Corrigan (M) | Yongzhong Liao (M) | Zhensheng Liu (M)
HVY,HEAVY MINERALS LIMITED,Adam,1,0,1,3,3,0,Adam Schofield,(none),Adam Schofield (M) | Gregory Jones (M) | Aaron Williams (M)
HRE,HEAVY RARE EARTHS LIMITED,Gabriel,1,0,1,3,2,1,Gabriel Chiappini,(none),Amanda Buckingham (?) | Gabriel Chiappini (M) | Graeme Morissey (M)
HXL,HEXIMA LIMITED.,Geoffrey,1,0,1,3,3,0,Geoffrey Kempler,(none),Geoffrey Kempler (M) | Phillip Hains (M) | Justin Yap (M)
HPR,HIGH PEAK ROYALTIES LIMITED,James,1,0,1,3,3,0,James Knowles,(none),James Knowles (M) | Jarrod White (M) | Anthony Wooles (M)
